state_index,RegionCode,country_name,time_index,month,month_of_year,cases,observed,population,log_population,x_coord,y_coord
0,AT,Austria,0,2010-01-01,1,2.0,1,8351643.0,15.937968843938123,0.03106080547512504,-0.06278854045119749
0,AT,Austria,1,2010-02-01,2,0.0,1,8351643.0,15.937968843938123,0.03106080547512504,-0.06278854045119749
0,AT,Austria,2,2010-03-01,3,1.0,1,8351643.0,15.937968843938123,0.03106080547512504,-0.06278854045119749
0,AT,Austria,3,2010-04-01,4,2.0,1,8351643.0,15.937968843938123,0.03106080547512504,-0.06278854045119749
0,AT,Austria,4,2010-05-01,5,6.0,1,8351643.0,15.937968843938123,0.03106080547512504,-0.06278854045119749
0,AT,Austria,5,2010-06-01,6,1.0,1,8351643.0,15.937968843938123,0.03106080547512504,-0.06278854045119749
0,AT,Austria,6,2010-07-01,7,,0,8351643.0,15.937968843938123,0.03106080547512504,-0.06278854045119749
0,AT,Austria,7,2010-08-01,8,1.0,1,8351643.0,15.937968843938123,0.03106080547512504,-0.06278854045119749
0,AT,Austria,8,2010-09-01,9,1.0,1,8351643.0,15.937968843938123,0.03106080547512504,-0.06278854045119749
0,AT,Austria,9,2010-10-01,10,0.0,1,8351643.0,15.937968843938123,0.03106080547512504,-0.06278854045119749
0,AT,Austria,10,2010-11-01,11,,0,8351643.0,15.937968843938123,0.03106080547512504,-0.06278854045119749
0,AT,Austria,11,2010-12-01,12,1.0,1,8351643.0,15.937968843938123,0.03106080547512504,-0.06278854045119749
0,AT,Austria,12,2011-01-01,1,2.0,1,8375164.0,15.94078121757323,0.03106080547512504,-0.06278854045119749
0,AT,Austria,13,2011-02-01,2,3.0,1,8375164.0,15.94078121757323,0.03106080547512504,-0.06278854045119749
0,AT,Austria,14,2011-03-01,3,2.0,1,8375164.0,15.94078121757323,0.03106080547512504,-0.06278854045119749
0,AT,Austria,15,2011-04-01,4,4.0,1,8375164.0,15.94078121757323,0.03106080547512504,-0.06278854045119749
0,AT,Austria,16,2011-05-01,5,5.0,1,8375164.0,15.94078121757323,0.03106080547512504,-0.06278854045119749
0,AT,Austria,17,2011-06-01,6,9.0,1,8375164.0,15.94078121757323,0.03106080547512504,-0.06278854045119749
0,AT,Austria,18,2011-07-01,7,3.0,1,8375164.0,15.94078121757323,0.03106080547512504,-0.06278854045119749
0,AT,Austria,19,2011-08-01,8,,0,8375164.0,15.94078121757323,0.03106080547512504,-0.06278854045119749
0,AT,Austria,20,2011-09-01,9,,0,8375164.0,15.94078121757323,0.03106080547512504,-0.06278854045119749
0,AT,Austria,21,2011-10-01,10,,0,8375164.0,15.94078121757323,0.03106080547512504,-0.06278854045119749
0,AT,Austria,22,2011-11-01,11,9.0,1,8375164.0,15.94078121757323,0.03106080547512504,-0.06278854045119749
0,AT,Austria,23,2011-12-01,12,1.0,1,8375164.0,15.94078121757323,0.03106080547512504,-0.06278854045119749
0,AT,Austria,24,2012-01-01,1,2.0,1,8408121.0,15.944708582491511,0.03106080547512504,-0.06278854045119749
0,AT,Austria,25,2012-02-01,2,2.0,1,8408121.0,15.944708582491511,0.03106080547512504,-0.06278854045119749
0,AT,Austria,26,2012-03-01,3,4.0,1,8408121.0,15.944708582491511,0.03106080547512504,-0.06278854045119749
0,AT,Austria,27,2012-04-01,4,1.0,1,8408121.0,15.944708582491511,0.03106080547512504,-0.06278854045119749
